Nº Voo,Equip.,Cód Origem,Cód Destino,Tempo esperado de voo
950,B772,SBGR,KJFK,585
906,B77W,SBGR,KMIA,505
930,B772,SBGR,KMIA,450
995,B772,KMIA,SBGR,500
962,B789,SBGR,KDFW,630
963,B789,KDFW,SBGR,730
973,B772,KJFK,SBGL,640
974,B772,SBGL,KJFK,430
904,B788,SBGL,KMIA,470
905,B788,KMIA,SBGL,570
937,B788,KDFW,SBGL,720
936,B788,SBGL,KDFW,470
948,B788,KMIA,SBGL,455
991,B788,KMIA,SBGL,505
925,B772,KMIA,SBGR,500
958,B772,SBGR,KMIA,590
904,B772,SBGL,KMIA,515
905,B772,KMIA,SBGL,570
906,B788,SBGR,KMIA,510
929,B77W,KMIA,SBGR,510
930,B77W,SBGR,KMIA,510
950,B789,SBGR,KJFK,650
951,B789,KJFK,SBGR,580
962,B789,SBGR,KDFW,625
963,B789,KDFW,SBGR,670
995,B788,KMIA,SBGR,490
964,B772,SBGL,KMIA,525
964,B772,SBGL,KMIA,525
964,B772,SBGL,KMIA,525
964,B772,SBGL,KMIA,585
929,B77W,KMIA,SBGR,570
951,B789,KJFK,SBGR,565
951,B789,KJFK,SBGR,605
1406,C208,SBSV,SNCL,30
1407,C208,SNCL,SBSV,30
1406,C208,SBSV,SNCL,30
1406,C208,SBSV,SNCL,30
1407,C208,SNCL,SBSV,30
1407,C208,SNCL,SBSV,30
1404,C208,SBSV,SNCL,30
1405,C208,SNCL,SBSV,30
1404,C208,SBSV,SNCL,30
1405,C208,SNCL,SBSV,30
1404,C208,SBSV,SNCL,30
1405,C208,SNCL,SBSV,30
1405,C208,SNCL,SBSV,30
1404,C208,SBSV,SNCL,30
1404,C208,SBSV,SNCL,30
1405,C208,SNCL,SBSV,30
1404,C208,SBSV,SNCL,30
1405,C208,SNCL,SBSV,30
1404,C208,SBSV,SNCL,30
1405,C208,SNCL,SBSV,30
1405,C208,SBSV,SNCL,30
1404,C208,SNCL,SBSV,30
1402,C208,SNCL,SBSV,30
1403,C208,SBSV,SNCL,30
1402,C208,SBSV,SNCL,30
1403,C208,SNCL,SBSV,90
1402,C208,SBSV,SNCL,30
1403,C208,SNCL,SBSV,90
1404,C208,SBSV,SNCL,30
1405,C208,SNCL,SBSV,30
1404,C208,SBSV,SNCL,30
1405,C208,SNCL,SBSV,30
1406,C208,SBSV,SNCL,30
1406,C208,SBSV,SNCL,30
1406,C208,SBSV,SNCL,30
1407,C208,SNCL,SBSV,30
1407,C208,SNCL,SBSV,30
1407,C208,SNCL,SBSV,30
1416,C208,SBSV,SIRI,40
1416,C208,SIRI,SDLO,15
1417,C208,SIRI,SDLO,15
1416,C208,SBSV,SDLO,35
1417,C208,SDLO,SIRI,15
1404,C208,SBSV,SNCL,30
1405,C208,SNCL,SBSV,30
1404,C208,SBSV,SNCL,30
1405,C208,SNCL,SBSV,30
1401,C208,SNCL,SBSV,30
1400,C208,SBSV,SNCL,30
1402,C208,SBSV,SNCL,30
